node_id,lon,lat
816,113.342065,23.151503
817,113.342038,23.151465
818,113.341734,23.150945
819,113.341575,23.15067
820,113.341539,23.150569
821,113.341508,23.150464
822,113.341086,23.149131
823,113.341103,23.14919
824,113.341208,23.149458
825,113.341365,23.149793
826,113.341402,23.149906
827,113.341342,23.150061
828,113.341248,23.149874
829,113.341142,23.149657
830,113.341054,23.14944
831,113.340971,23.149393
832,113.340919,23.149227
833,113.340843,23.149011
834,113.340785,23.148822
835,113.340772,23.148766
836,113.340761,23.148722
837,113.342193,23.150998
838,113.342275,23.150967
839,113.342344,23.150945
840,113.342415,23.150933
841,113.3425,23.150922
842,113.342574,23.150921
843,113.342644,23.150932
844,113.342704,23.150953
845,113.342771,23.151004
846,113.342776,23.151051
847,113.342122,23.151047
848,113.342136,23.151048
849,113.342244,23.151034
850,113.342315,23.151024
851,113.342414,23.151015
852,113.342496,23.151017
853,113.342622,23.15102
854,113.342706,23.151048
855,113.34274,23.151075
856,113.344059,23.153331
857,113.344013,23.153464
858,113.344294,23.153555
859,113.344289,23.153641
860,113.344061,23.15354
861,113.344053,23.153781
862,113.344083,23.153807
863,113.345288,23.153929
864,113.345372,23.153866
865,113.345429,23.153824
866,113.345449,23.15374
867,113.345506,23.153503
868,113.345585,23.15317
869,113.345627,23.152994
870,113.345709,23.152649
871,113.345741,23.152514
872,113.345751,23.152388
873,113.345759,23.152275
874,113.345795,23.15179
875,113.345827,23.151356
876,113.345853,23.151018
877,113.345871,23.150776
878,113.345886,23.150566
879,113.346015,23.15043
880,113.346123,23.150362
881,113.346414,23.150345
882,113.337638,23.169742
883,113.337046,23.169911
884,113.335022,23.16885
885,113.335078,23.169001
886,113.334296,23.169197
887,113.334183,23.169018
888,113.335571,23.168875
889,113.3354,23.168948
890,113.335342,23.169047
891,113.335316,23.169121
892,113.3353,23.169167
893,113.33761,23.158911
894,113.338325,23.15897
895,113.33857,23.15899
896,113.338764,23.15895
897,113.338751,23.158553
898,113.33875,23.158499
899,113.33873,23.158241
900,113.338349,23.159394
901,113.338446,23.159544
902,113.338543,23.159975
903,113.338548,23.160016
904,113.338597,23.160422
905,113.338651,23.160853
906,113.338119,23.161006
907,113.338162,23.161127
908,113.338201,23.160117
909,113.337918,23.1602
910,113.33811,23.159577
911,113.335583,23.167557
912,113.33517,23.166822
913,113.335788,23.166574
914,113.335106,23.155027
915,113.335017,23.155121
916,113.335044,23.155086
917,113.336481,23.155212
918,113.336649,23.155285
919,113.33691,23.155399
920,113.337233,23.155579
921,113.335165,23.15649
922,113.335095,23.156794
923,113.335358,23.157115
924,113.335572,23.157161
925,113.336084,23.157273
926,113.336535,23.15737
927,113.337176,23.157524
928,113.337971,23.157074
929,113.338003,23.157073
930,113.33803,23.157071
931,113.334957,23.155538
932,113.335037,23.155819
933,113.334879,23.156482
934,113.336473,23.150836
935,113.335592,23.151045
936,113.336269,23.152851
937,113.33626,23.153032
938,113.336245,23.153337
939,113.33624,23.153423
940,113.336238,23.153633
941,113.336236,23.153796
942,113.336224,23.154166
943,113.338157,23.164669
944,113.338181,23.164261
945,113.346389,23.154732
946,113.346391,23.154694
947,113.346422,23.154094
948,113.34643,23.153925
949,113.346494,23.153673
950,113.346614,23.1532
951,113.346646,23.153077
952,113.346727,23.152757
953,113.34681,23.152428
954,113.346818,23.152396
955,113.346897,23.152226
956,113.345655,23.149784
957,113.345654,23.149873
958,113.34565,23.150297
959,113.345648,23.150457
960,113.345646,23.150637
961,113.345646,23.150676
962,113.345713,23.150841
963,113.345729,23.15088
964,113.345192,23.149879
965,113.345191,23.150304
966,113.34519,23.150469
967,113.345189,23.15065
968,113.345189,23.150839
969,113.345483,23.15084
970,113.344924,23.150835
971,113.344767,23.150833
972,113.344766,23.150765
973,113.344765,23.150703
974,113.344764,23.150663
975,113.34476,23.150472
976,113.344757,23.150315
977,113.344933,23.150999
978,113.344937,23.15106
979,113.344944,23.151194
980,113.344947,23.151236
981,113.344951,23.151316
982,113.344963,23.15152
983,113.344977,23.151761
984,113.344987,23.151947
985,113.345,23.15218
986,113.345012,23.152392
987,113.344745,23.152964
988,113.34506,23.152729
989,113.34525,23.152586
990,113.345366,23.152515
991,113.346329,23.15209
992,113.346496,23.15213
993,113.347333,23.152425
994,113.347638,23.152592
995,113.347761,23.152929
996,113.347108,23.152555
997,113.344706,23.152611
998,113.34468,23.152376
999,113.344661,23.152197
1000,113.344635,23.151964
1001,113.344613,23.151766
1002,113.344586,23.151527
1003,113.344563,23.151317
1004,113.34481,23.151316
1005,113.344434,23.151331
1006,113.344422,23.151048
1007,113.34442,23.150978
1008,113.344416,23.150901
1009,113.344413,23.150804
1010,113.344409,23.150719
1011,113.344708,23.150813
1012,113.344755,23.151047
1013,113.346231,23.151067
1014,113.346561,23.15111
1015,113.346607,23.150883
1016,113.346276,23.150835
1017,113.344911,23.152627
1018,113.345326,23.152911
1019,113.34796,23.153262
1020,113.348312,23.153589
1021,113.348005,23.153561
1022,113.347985,23.153428
1023,113.347965,23.153201
1024,113.348162,23.153215
1025,113.348228,23.153254
1026,113.348275,23.153443
1027,113.345528,23.153952
1028,113.345281,23.153464
1029,113.345192,23.153688
1030,113.345088,23.153078
1031,113.345467,23.151947
1032,113.34547,23.151778
1033,113.345473,23.151499
1034,113.345478,23.151198
1035,113.34548,23.151036
1036,113.346521,23.151726
1037,113.345647,23.151505
1038,113.34566,23.151355
1039,113.345386,23.151205
1040,113.346322,23.150593
1041,113.346388,23.150597
1042,113.342037,23.150418
1043,113.342614,23.150535
1044,113.342629,23.150538
1045,113.342784,23.150576
1046,113.34287,23.150597
