edge_id,u,v,walk,car,walk_allowed,car_allowed
490,264,262,186,186,True,True
491,264,256,90,90,True,True
492,256,264,90,90,True,True
493,256,250,35,35,True,True
494,250,256,35,35,True,True
495,250,238,46,46,True,True
496,238,250,46,46,True,True
497,264,272,47,47,True,True
498,272,264,47,47,True,True
499,272,277,73,73,True,True
500,277,272,73,73,True,True
501,277,288,94,94,True,True
502,288,277,94,94,True,True
503,288,289,115,100000000,True,False
504,289,288,115,100000000,True,False
505,277,280,37,37,True,True
506,280,277,37,37,True,True
507,280,282,30,30,True,True
508,282,280,30,30,True,True
509,280,272,93,93,True,True
510,272,280,93,93,True,True
511,272,273,46,100000000,True,False
512,273,272,46,100000000,True,False
513,334,332,150,100000000,True,False
514,332,334,150,100000000,True,False
515,331,320,179,100000000,True,False
516,320,331,179,100000000,True,False
517,159,176,130,100000000,True,False
518,176,159,130,100000000,True,False
519,176,184,68,100000000,True,False
520,184,176,68,100000000,True,False
521,184,188,78,100000000,True,False
522,188,184,78,100000000,True,False
523,176,170,41,100000000,True,False
524,170,176,41,100000000,True,False
525,184,177,38,100000000,True,False
526,177,184,38,100000000,True,False
527,189,199,58,58,True,True
528,199,189,58,58,True,True
529,199,221,102,102,True,True
530,221,199,102,102,True,True
531,221,223,54,54,True,True
532,223,221,54,54,True,True
533,223,225,47,47,True,True
534,225,223,47,47,True,True
535,225,228,60,60,True,True
536,228,225,60,60,True,True
537,219,218,18,100000000,True,False
538,218,219,18,100000000,True,False
539,172,198,155,155,True,True
540,198,172,155,155,True,True
541,48,56,30,30,True,True
542,56,48,30,30,True,True
543,56,62,82,82,True,True
544,62,56,82,82,True,True
545,86,110,54,54,True,True
546,110,86,54,54,True,True
547,110,124,34,34,True,True
548,124,110,34,34,True,True
549,124,133,33,33,True,True
550,133,124,33,33,True,True
551,133,150,76,76,True,True
552,150,133,76,76,True,True
553,296,293,45,100000000,True,False
554,293,296,45,100000000,True,False
555,120,112,47,47,True,True
556,112,120,47,47,True,True
557,112,93,81,81,True,True
558,93,112,81,81,True,True
559,93,109,250,250,True,True
560,109,93,250,250,True,True
561,112,89,66,66,True,True
562,89,112,66,66,True,True
563,89,85,20,20,True,True
564,85,89,20,20,True,True
565,85,82,26,26,True,True
566,82,85,26,26,True,True
567,82,77,22,22,True,True
568,77,82,22,22,True,True
569,77,73,27,27,True,True
570,73,77,27,27,True,True
571,73,68,24,24,True,True
572,68,73,24,24,True,True
573,67,68,25,25,True,True
574,68,67,25,25,True,True
575,68,64,45,45,True,True
576,64,68,45,45,True,True
577,64,47,27,27,True,True
578,47,64,27,27,True,True
579,47,63,57,57,True,True
580,63,47,57,57,True,True
581,63,67,30,30,True,True
582,67,63,30,30,True,True
583,64,63,34,34,True,True
584,63,64,34,34,True,True
585,89,93,73,73,True,True
586,93,89,73,73,True,True
587,109,111,40,40,True,True
588,111,109,40,40,True,True
589,85,84,35,35,True,True
590,84,85,35,35,True,True
591,82,78,104,104,True,True
592,78,82,104,104,True,True
593,78,71,31,31,True,True
594,71,78,31,31,True,True
595,71,54,73,73,True,True
596,54,71,73,73,True,True
597,77,78,88,88,True,True
598,78,77,88,88,True,True
599,78,76,108,108,True,True
600,76,78,108,108,True,True
601,73,71,91,91,True,True
602,71,73,91,91,True,True
603,71,69,52,52,True,True
604,69,71,52,52,True,True
605,34,38,49,49,True,True
606,38,34,49,49,True,True
607,38,42,60,60,True,True
608,42,38,60,60,True,True
609,42,45,18,18,True,True
610,45,42,18,18,True,True
611,45,44,54,54,True,True
612,44,45,54,54,True,True
613,44,46,74,74,True,True
614,46,44,74,74,True,True
615,47,46,34,100000000,True,False
616,46,47,34,100000000,True,False
617,42,52,45,45,True,True
618,52,42,45,45,True,True
619,52,44,78,78,True,True
620,44,52,78,78,True,True
621,44,32,53,53,True,True
622,32,44,53,53,True,True
623,32,28,28,28,True,True
624,28,32,28,28,True,True
625,38,35,93,93,True,True
626,35,38,93,93,True,True
627,35,39,28,28,True,True
628,39,35,28,28,True,True
629,39,44,37,37,True,True
630,44,39,37,37,True,True
631,52,45,23,23,True,True
632,45,52,23,23,True,True
633,45,35,29,29,True,True
634,35,45,29,29,True,True
635,39,32,23,23,True,True
636,32,39,23,23,True,True
637,2,5,46,46,True,True
638,5,2,46,46,True,True
639,5,9,26,26,True,True
640,9,5,26,26,True,True
641,9,20,44,44,True,True
642,20,9,44,44,True,True
643,20,37,107,107,True,True
644,37,20,107,107,True,True
645,6,16,63,63,True,True
646,16,6,63,63,True,True
647,16,30,38,38,True,True
648,30,16,38,38,True,True
649,30,37,24,24,True,True
650,37,30,24,24,True,True
651,17,18,28,28,True,True
652,18,17,28,28,True,True
653,18,20,30,30,True,True
654,20,18,30,30,True,True
655,20,21,22,22,True,True
656,21,20,22,22,True,True
657,21,25,28,28,True,True
658,25,21,28,28,True,True
659,25,30,34,34,True,True
660,30,25,34,34,True,True
661,30,31,33,33,True,True
662,31,30,33,33,True,True
663,21,12,38,38,True,True
664,12,21,38,38,True,True
665,25,14,38,38,True,True
666,14,25,38,38,True,True
667,5,4,33,33,True,True
668,4,5,33,33,True,True
669,4,10,58,58,True,True
670,10,4,58,58,True,True
671,10,17,36,36,True,True
672,17,10,36,36,True,True
673,18,8,44,44,True,True
674,8,18,44,44,True,True
675,8,4,23,23,True,True
676,4,8,23,23,True,True
677,11,10,37,37,True,True
678,10,11,37,37,True,True
679,10,8,30,30,True,True
680,8,10,30,30,True,True
681,8,9,31,31,True,True
682,9,8,31,31,True,True
683,9,12,34,34,True,True
684,12,9,34,34,True,True
685,12,14,29,29,True,True
686,14,12,29,29,True,True
687,14,16,34,34,True,True
688,16,14,34,34,True,True
689,13,31,60,60,True,True
690,31,13,60,60,True,True
691,31,1,324,324,True,True
692,1,31,324,324,True,True
693,53,15,132,132,True,True
694,15,53,132,132,True,True
695,15,23,163,163,True,True
696,23,15,163,163,True,True
697,15,19,51,51,True,True
698,19,15,51,51,True,True
699,19,24,186,186,True,True
700,24,19,186,186,True,True
701,24,22,29,29,True,True
702,22,24,29,29,True,True
703,22,26,105,105,True,True
704,26,22,105,105,True,True
705,26,33,22,22,True,True
706,33,26,22,22,True,True
707,19,43,92,92,True,True
708,43,19,92,92,True,True
709,43,57,52,52,True,True
710,57,43,52,52,True,True
711,49,41,28,28,True,True
712,41,49,28,28,True,True
713,41,36,21,21,True,True
714,36,41,21,21,True,True
715,36,24,36,36,True,True
716,24,36,36,36,True,True
717,51,40,75,75,True,True
718,40,51,75,75,True,True
