u,v,walk_dis_m,car_dis_m
402,403,148,2000000000
403,402,148,2000000000
403,404,25,2000000000
404,403,25,2000000000
404,405,24,2000000000
405,404,24,2000000000
405,292,10,2000000000
292,405,10,2000000000
293,406,11,11
406,293,11,11
406,407,13,13
407,406,13,13
407,408,48,48
408,407,48,48
408,409,10,10
409,408,10,10
409,410,33,33
410,409,33,33
410,411,41,41
411,410,41,41
411,412,59,59
412,411,59,59
412,413,85,85
413,412,85,85
413,414,8,8
414,413,8,8
414,415,27,27
415,414,27,27
415,416,8,8
416,415,8,8
416,417,10,10
417,416,10,10
417,418,12,12
418,417,12,12
418,419,22,22
419,418,22,22
419,420,20,20
420,419,20,20
420,401,7,7
401,420,7,7
401,421,11,11
421,401,11,11
421,422,24,24
422,421,24,24
422,286,12,12
286,422,12,12
416,423,89,89
423,416,89,89
423,424,46,46
424,423,46,46
424,425,50,50
425,424,50,50
425,426,20,20
426,425,20,20
427,428,10,10
428,427,10,10
428,429,50,50
429,428,50,50
429,430,8,8
430,429,8,8
430,431,20,20
431,430,20,20
431,282,20,20
282,431,20,20
431,432,18,18
432,431,18,18
432,433,45,45
433,432,45,45
433,434,5,5
434,433,5,5
434,435,39,39
435,434,39,39
435,436,36,36
436,435,36,36
436,437,35,35
437,436,35,35
437,438,24,24
438,437,24,24
438,439,15,15
439,438,15,15
439,440,27,27
440,439,27,27
440,441,41,41
441,440,41,41
441,442,6,6
442,441,6,6
442,443,25,25
443,442,25,25
443,444,39,39
444,443,39,39
444,445,8,8
445,444,8,8
445,446,33,33
446,445,33,33
446,447,50,50
447,446,50,50
447,448,26,26
448,447,26,26
448,449,24,24
449,448,24,24
449,450,22,22
450,449,22,22
450,451,43,43
451,450,43,43
451,452,50,50
452,451,50,50
452,453,52,52
453,452,52,52
453,454,51,51
454,453,51,51
454,196,31,31
196,454,31,31
448,455,53,53
455,448,53,53
455,456,29,29
456,455,29,29
456,457,21,21
457,456,21,21
457,458,24,24
458,457,24,24
458,459,11,11
459,458,11,11
459,460,31,31
460,459,31,31
460,461,39,39
461,460,39,39
461,462,34,34
462,461,34,34
462,463,19,19
463,462,19,19
463,414,87,87
414,463,87,87
415,464,42,42
464,415,42,42
464,465,17,17
465,464,17,17
465,466,28,28
466,465,28,28
466,467,26,26
467,466,26,26
467,468,35,35
468,467,35,35
468,469,42,42
469,468,42,42
469,470,28,2000000000
470,469,28,2000000000
470,458,33,2000000000
458,470,33,2000000000
445,471,27,27
471,445,27,27
471,472,22,22
472,471,22,22
472,473,5,5
473,472,5,5
473,474,28,28
474,473,28,28
474,475,22,22
475,474,22,22
475,476,24,24
476,475,24,24
476,423,24,24
423,476,24,24
442,473,72,72
473,442,72,72
447,477,34,34
477,447,34,34
477,478,57,57
478,477,57,57
478,473,32,32
473,478,32,32
40,479,37,2000000000
479,40,37,2000000000
479,480,4,2000000000
480,479,4,2000000000
480,481,15,2000000000
481,480,15,2000000000
482,380,59,2000000000
380,482,59,2000000000
330,483,55,2000000000
483,330,55,2000000000
484,322,59,2000000000
322,484,59,2000000000
485,486,4,4
486,485,4,4
486,487,4,4
487,486,4,4
487,488,5,5
488,487,5,5
488,489,5,5
489,488,5,5
489,490,5,5
490,489,5,5
490,491,4,4
491,490,4,4
491,492,4,4
492,491,4,4
492,493,6,6
493,492,6,6
493,494,53,53
494,493,53,53
494,495,12,12
495,494,12,12
495,496,10,10
496,495,10,10
496,497,17,17
497,496,17,17
497,498,33,33
498,497,33,33
498,499,20,20
499,498,20,20
499,500,23,23
500,499,23,23
500,382,18,18
382,500,18,18
485,501,59,59
501,485,59,59
501,502,6,6
502,501,6,6
502,503,10,10
503,502,10,10
503,504,43,43
504,503,43,43
487,505,40,40
505,487,40,40
491,506,48,48
506,491,48,48
489,507,26,26
507,489,26,26
307,508,39,39
508,307,39,39
508,509,31,31
509,508,31,31
509,510,25,25
510,509,25,25
510,511,16,16
511,510,16,16
511,512,4,4
512,511,4,4
512,513,9,9
513,512,9,9
513,514,23,23
514,513,23,23
514,515,11,11
515,514,11,11
515,516,1,1
516,515,1,1
516,517,6,6
517,516,6,6
517,518,5,5
518,517,5,5
518,519,6,6
519,518,6,6
519,520,4,4
520,519,4,4
520,521,10,10
521,520,10,10
521,522,11,11
522,521,11,11
522,523,13,13
523,522,13,13
523,524,8,8
524,523,8,8
524,525,6,6
525,524,6,6
525,526,4,4
526,525,4,4
526,514,11,11
514,526,11,11
527,39,84,2000000000
39,527,84,2000000000
194,528,59,2000000000
528,194,59,2000000000
528,517,41,2000000000
517,528,41,2000000000
508,529,26,26
529,508,26,26
529,530,36,36
530,529,36,36
530,531,42,42
531,530,42,42
531,532,16,16
532,531,16,16
532,533,24,24
533,532,24,24
533,534,6,6
534,533,6,6
534,535,8,8
535,534,8,8
535,536,20,20
536,535,20,20
536,537,67,67
537,536,67,67
537,388,20,20
388,537,20,20
538,539,47,47
539,538,47,47
539,540,25,25
540,539,25,25
540,541,9,9
541,540,9,9
541,542,15,15
542,541,15,15
542,543,29,29
543,542,29,29
543,544,12,12
544,543,12,12
544,393,56,56
393,544,56,56
393,545,37,37
545,393,37,37
545,546,30,30
546,545,30,30
546,547,16,16
547,546,16,16
547,548,13,13
548,547,13,13
548,549,9,9
549,548,9,9
549,550,48,48
550,549,48,48
550,551,32,32
551,550,32,32
551,552,9,9
552,551,9,9
552,535,29,29
535,552,29,29
553,554,5,2000000000
554,553,5,2000000000
554,555,5,2000000000
555,554,5,2000000000
555,556,5,2000000000
556,555,5,2000000000
556,557,5,2000000000
557,556,5,2000000000
557,558,5,2000000000
558,557,5,2000000000
558,559,5,2000000000
559,558,5,2000000000
559,560,4,2000000000
560,559,4,2000000000
560,561,4,2000000000
561,560,4,2000000000
561,562,4,2000000000
562,561,4,2000000000
562,563,4,2000000000
563,562,4,2000000000
563,564,4,2000000000
564,563,4,2000000000
564,565,4,2000000000
565,564,4,2000000000
565,566,5,2000000000
566,565,5,2000000000
566,567,5,2000000000
567,566,5,2000000000
567,568,5,2000000000
568,567,5,2000000000
568,569,5,2000000000
569,568,5,2000000000
569,570,5,2000000000
570,569,5,2000000000
570,571,5,2000000000
571,570,5,2000000000
300,572,24,24
572,300,24,24
572,573,23,23
573,572,23,23
573,574,18,18
574,573,18,18
574,575,69,69
575,574,69,69
575,571,61,61
571,575,61,61
173,576,38,38
576,173,38,38
576,577,32,32
577,576,32,32
577,578,32,32
578,577,32,32
578,579,35,35
579,578,35,35
579,580,15,15
580,579,15,15
580,581,8,8
581,580,8,8
